"gene_id","gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000158195","WASF2",889.010581096361,-1.06374815021879,0.26825802769837,3.25591169869771e-06,0.000144099267242364
"ENSG00000116117","PARD3B",500.211696650603,-1.21637392635737,0.315338396079522,4.97678904640354e-06,0.000197827364594541
"ENSG00000185031","SLC2A3P2",41.8064433580699,-2.19968109638914,0.568095881618056,5.1356260974624e-06,0.000198623809336992
"ENSG00000186522","SEPT10",434.501182873223,-1.54455956167555,0.413223649719788,8.24938860250394e-06,0.000305298493711633
"ENSG00000050628","PTGER3",91.3106071624219,-2.47303501049637,0.661872954125834,9.13391943588733e-06,0.000332304374053087
"ENSG00000162618","ELTD1",280.921359073178,-1.89013165679979,0.512006158393585,1.05554642843709e-05,0.000369680447548204
"ENSG00000163513","TGFBR2",1111.53135611075,-1.54382831880833,0.419476355361792,1.04248087941515e-05,0.000369680447548204
"ENSG00000116678","LEPR",847.215705310915,-1.92048085457936,0.527014012790124,1.22235550809819e-05,0.000419805775701241
"ENSG00000220749","RPL21P28",146.375907632068,-1.80263459119361,0.498546926591255,1.29842355923994e-05,0.000438908058253313
"ENSG00000233762","AC007969.5",82.6530704547355,-1.48833853171229,0.423298428098711,1.94000676369204e-05,0.000612385958568376
"ENSG00000123607","TTC21B",1518.20756295746,-1.29799255192715,0.371100725941389,1.97687365875016e-05,0.000619468512190834
"ENSG00000143344","RGL1",375.126653651566,-1.07174152784902,0.312611046812985,2.45330433862388e-05,0.000741692642655798
"ENSG00000170989","S1PR1",84.7368464392873,-2.02221388469977,0.592913051988206,2.84210529417588e-05,0.000835695755335415
"ENSG00000084674","APOB",175.777557905958,-3.51780606293564,1.08195533180848,5.30335410403018e-05,0.0013715240463013
"ENSG00000138078","PREPL",644.530149828748,-1.06112550962896,0.330656716696437,5.52138158261635e-05,0.00138615737626737
"ENSG00000115306","SPTBN1",5503.10863131256,-1.35420289696743,0.422742002560795,5.50470239633169e-05,0.00138615737626737
"ENSG00000018625","ATP1A2",159.225008385623,-3.68000843331287,1.16310828563274,7.2039894489325e-05,0.00169927069803666
"ENSG00000174059","CD34",293.378380384847,-1.98803676667288,0.652057388660385,9.65228182362295e-05,0.00209615158419934
"ENSG00000138433","CIR1",395.4715945901,-1.07220713328623,0.35654726012481,0.000106232758784177,0.00224555250475056
"ENSG00000144655","CSRNP1",211.883303279121,-1.32217944651052,0.441242987726471,0.000106215974009287,0.00224555250475056
"ENSG00000184588","PDE4B",225.939147505161,-1.01859819171258,0.345341927567835,0.000118259828753107,0.00240611111297199
"ENSG00000169621","APLF",159.002676064906,-1.2883402257267,0.43464436265631,0.000117781432586393,0.00240611111297199
"ENSG00000153165","RGPD3",1241.95870064508,-1.83324721722884,0.637470795729167,0.000158149377694652,0.00299090431032221
"ENSG00000187800","PEAR1",90.8290877494702,-1.47242642466322,0.514948422872862,0.000160757847018312,0.00301465411080834
"ENSG00000064989","CALCRL",205.779322171974,-1.45152546914001,0.526844450054025,0.000216051222340225,0.00373995119962333
"ENSG00000175390","EIF3F",118.919760511811,-1.09311252227812,0.407960363531369,0.000264390192155638,0.00431569237613747
"ENSG00000142627","EPHA2",173.250811271216,-1.20870728374088,0.457994669016857,0.000295460400616,0.00468048523927855
"ENSG00000197520","FAM177B",7.85244684838415,-3.14952672764034,1.13775120439746,0.000308275942575597,0.00481096611328544
"ENSG00000240038","AMY2B",3785.04245329115,-1.47176988932131,0.566152819633896,0.00032900210640531,0.00506238725017203
"ENSG00000238261","RP11-435B5.5",34.6501336735217,-2.35803168457879,0.934778434708339,0.000423620244784597,0.00622808805089136
"ENSG00000114812","VIPR1",56.9651577648298,-2.39788181766136,0.9693012451092,0.000492507677285327,0.00704778486195303
"ENSG00000231378","NDUFAF4P4",4.81376876604073,-2.39269544763851,0.997676263889519,0.000612478801392047,0.0084274727383848
"ENSG00000144229","THSD7B",70.3697681447507,-1.63626908879157,0.706924439654264,0.000679152060219404,0.00907922019913866
"ENSG00000116774","OLFML3",121.547751462904,-1.16638912475155,0.512583337204804,0.00073038313392323,0.0095887914187536
"ENSG00000099260","PALMD",383.982827893072,-1.33212981725057,0.591247938040916,0.000758061949624444,0.00986169681738708
"ENSG00000121851","POLR3GL",184.745110436558,-1.16979016192761,0.527311909816625,0.00078284825363584,0.0100022843835079
"ENSG00000049245","VAMP3",214.886601305238,-1.29203255274055,0.587906413551287,0.000828084352079264,0.0104575332998459
"ENSG00000228502","EEF1A1P11",164.467787720281,-1.04038950211532,0.481638936244629,0.000845600723152231,0.0106456419486584
"ENSG00000138036","DYNC2LI1",162.98174045084,-1.15883602139,0.541158359735044,0.000944381781467295,0.0114178889880381
"ENSG00000172260","NEGR1",49.9485787957942,-1.50425047468057,0.694936384624281,0.000990558366433912,0.0117471465942011
"ENSG00000085465","OVGP1",82.667923276812,-1.27469875396244,0.62862636291762,0.00123906428312716,0.014147082360279
"ENSG00000082438","COBLL1",1123.59169436767,-1.10194667623956,0.594585341235716,0.00161352740769448,0.0175108650198462
"ENSG00000151090","THRB",256.335333108551,-1.01260555661158,0.565529139855875,0.0018225196932628,0.0192237765188629
"ENSG00000007933","FMO3",194.763054438365,-1.3758373050384,0.770600523744128,0.00183752526995654,0.0192737036743551
"ENSG00000003436","TFPI",218.467340672892,-1.41251670459147,0.795854401030533,0.00188457668175551,0.0195452542900302
"ENSG00000174175","SELP",50.6549540773968,-1.28618504876534,0.741347474885914,0.00195820570860909,0.0201114284857866
"ENSG00000152133","GPATCH11",160.118654856702,-1.06765768997745,0.664921180645584,0.00230975803510343,0.0226387927961165
"ENSG00000213366","GSTM2",348.946650930064,-1.33486158050352,0.834222906224218,0.00247595343102106,0.0238324396398507
"ENSG00000163576","EFHB",44.9177000471911,-2.0326788184624,1.31606042645203,0.0026011155019811,0.0248146418888997
"ENSG00000186446","ZNF501",37.340891996283,-1.57910708752532,1.18262192115669,0.00332414753385376,0.0291716152109246
"ENSG00000155816","FMN2",44.3455415871621,-1.35039272784601,1.92979309356009,0.00491277058985069,0.038207471272154
